Age,GS,G,STL,BLK,PF,Two_Pt_Pct,Three_Pt_Pct,FT_PCt,TS_PCt,Three_Pt_Att,FTr,Assist_Pct,Steal_Pct,Block_Pct,Turnover_Pct,Usage_Pct,ORtg,DRtg,Rising_Star
23,0,12,0.3,0.2,0.6,0.36,0.17,0.58,0.4,0.3,0.6,27.1,2.1,1.9,30.3,22.4,76,107,0
22.5,12,36,1,0.3,1.7,0.52,0.32,0.61,0.52,0.24,0.45,7.4,2.5,1.3,11.4,19.1,101,114,0
24,69,71,1.2,0.5,2.3,0.56,0.39,0.74,0.58,0.42,0.22,17.3,2.1,1.2,12.7,19.3,114,108,0
23,0,13,0.1,0,0,0.17,0.13,0.5,0.2,0.57,0.14,3.2,1.3,0,6.3,18.1,45,113,0
22.5,14.5,55,0.6,0.1,1.7,0.47,0.5,0.87,0.48,0.07,0.18,29.9,1.9,0.5,16.3,19,100,112,0
22,0,10,0.2,0.2,0.3,0.3,0.33,1,0.47,0.47,0.26,7.3,2.3,4.2,12.4,25.1,93,114,0
22,11.66666667,70,0.5,0.2,1.5,0.5,0.4,0.86,0.56,0.47,0.21,11.5,1.2,0.7,9.9,19.9,111,110,0
24.66666667,0.666666667,26,0.7,0.1,1.9,0.47,0.4,0.95,0.59,0.53,1.5,17.5,2.4,0.5,15,19.7,115,117,0
33,73,73,1.1,0.1,2.1,0.44,0.39,0.91,0.6,0.42,0.53,26.1,1.7,0.3,13,24.3,120,110,1
21,0.333333333,44.33333333,0.5,0.5,1.8,0.63,0.3,0.76,0.64,0.02,0.38,5.1,1.5,3,14,20.5,119,108,0
21.5,0,22.5,0.2,0.3,0.5,0.59,0,0.77,0.6,0.03,0.29,13.9,2,4.8,18.6,25.9,117,112,0
20.5,0.5,3,0.6,0.2,4,0.71,0.3,1,0.8,0,0.57,7.8,2.8,1.6,37.5,16.1,119,111,0
23,0,14,0.4,0,0.9,0.67,0.22,0.75,0.37,0.9,0,3.3,2.3,0,9.1,11.1,82,108,0
28,64.85714286,64.85714286,1,1.4,2.4,0.57,0.38,0.82,0.6,0.29,0.51,12.1,1.7,3.4,11.2,28.7,117,111,1
26,0,28,0.4,1,1.9,0.57,0.32,0.87,0.57,1,0.4,4.7,1.8,12.2,7.8,43.9,122,101,0
23.5,0,14,0.7,0.1,1.1,0.37,0.44,1,0.53,0.63,0.03,26.7,2.8,2.6,17.5,16.2,107,112,0
22,0,29,0.2,0.2,0.7,0.56,0.35,0.86,0.55,0.75,0.06,13.5,1.1,1.7,11.6,24,104,113,0
29,8.333333333,49,0.3,0.2,1.9,0.58,0.42,0.76,0.62,0.68,0.22,12.6,1,2,15.2,25.3,116,109,0
23.5,25,55.5,0.8,0.3,1.7,0.46,0.33,0.85,0.52,0.17,0.33,9.8,1.8,1.2,13.1,19.6,102,112,0
25,9,60,0.2,0.6,2.2,0.51,0,0.75,0.55,0.02,0.32,6.7,0.8,3.2,10.8,15.2,111,112,0
24.5,0.5,24.66666667,0.9,0.9,1.6,0.71,0.34,0.88,0.65,0.72,0.95,6,2.6,7.6,25.1,17.1,119,109,0
27,76,76,0.5,1.2,2.8,0.49,0,0.75,0.53,0.01,0.26,8.6,0.7,2.7,14.3,27.1,99,109,1
21,1.333333333,19.66666667,1.2,0.5,1.6,0.6,0.38,0.64,0.53,0.31,0.33,7.1,3.9,4.9,11.2,24.6,107,112,0
27.875,67,67,2.5,0.2,2.6,0.56,0.41,0.9,0.61,0.35,0.41,52.7,3.8,0.4,13.9,27.1,127,109,1
25,0,18,0.4,0.2,2.8,0.52,0.3,0.64,0.55,0,0.38,4.4,1.8,1.4,29.3,9.6,96,103,0
23,0,41,0.2,0.4,2,0.64,0,0.69,0.66,0.03,0.71,10.2,1.4,5.8,25.5,17.5,120,106,0
23,20.66666667,49.33333333,1.1,0.5,2.7,0.42,0.37,0.72,0.48,0.41,0.37,6.3,2.5,2.1,17.9,17.2,97,105,0
26,0,2,0,0,0,0.5,0.3,0.75,0.53,0,0,0,0,0,0,0,105,119,0
23.66666667,0.333333333,11.66666667,0.9,0.6,2.1,0.62,0.3,0.77,0.6,0.03,0.69,6.9,2.9,5.4,33.3,34.2,120,116,0
21.5,9,25.5,0.8,0.7,1.8,0.49,0.33,0.64,0.48,0.3,0.32,7.5,1.9,3.7,12.9,17.5,90,111,0
21.33333333,0.666666667,17,0.3,0.5,0.8,0.67,0.36,0.73,0.61,0.22,0.65,4.8,1.7,4.9,19.1,26.1,114,107,0
23.5,4.5,28,0.6,0.3,1.5,0.42,0.27,0.75,0.45,0.39,0.22,9.1,2,1.5,17.7,19.6,87,110,0
20,0,8,0.1,0.3,0.1,0.5,0.3,0.75,0.5,0,0,0,1.4,4.4,9.1,13.3,100,107,0
21,31.33333333,51.33333333,0.8,1.2,2.8,0.64,0.3,0.53,0.64,0,0.79,6.7,2,7.8,12,21.3,122,106,0
26,1,7,0.4,0.1,2,0.43,0.18,0.67,0.4,0.34,0.19,17.9,1.3,0.6,22.4,17,82,113,0
19,1,65,0.8,0.1,1.8,0.43,0.35,0.79,0.51,0.48,0.16,16.5,1.4,0.3,11.4,24.4,100,112,0
24,3,48,0.8,0.2,1.6,0.55,0.23,0.65,0.51,0.37,0.31,15.7,2.2,0.9,15.7,13.6,104,112,0
22,36,72.33333333,0.8,0.9,2.8,0.54,1,0.77,0.59,0.02,0.53,10.9,1.6,2.9,15,18.9,119,102,0
23,0,29.66666667,0.3,0.6,1.7,0.55,0.3,0.93,0.59,0,0.33,4,2.4,6.7,32.3,14.9,113,105,0
20.5,68.5,73.5,1,0.1,2.3,0.5,0.4,0.85,0.56,0.25,0.25,15.3,1.5,0.3,12.3,27.2,108,121,0
23,82,82,1.4,0.4,2.7,0.46,0.35,0.65,0.5,0.25,0.27,12.5,2.4,0.9,13.4,21.5,98,111,0
22.5,0,22,0.5,0.2,1.1,0.36,0.2,0.7,0.4,0.26,0.38,29.8,4.9,1.1,17.3,28.3,90,114,0
24.5,0.5,29,0.2,0.4,1.2,0.48,0.13,0.67,0.48,0.09,0.32,4.8,1,3.2,9.5,21,105,110,0
21,9.666666667,41.66666667,0.5,0.2,1.2,0.51,0.32,0.86,0.56,0.21,0.36,20.2,2,1.1,15,16.9,115,106,0
23,0,3,0,0,0,0,1,0.75,0.75,0.5,0,0,0,0,20,35.5,96,108,0
23,0,10,0.3,0,0.5,0.42,0.23,0.67,0.45,0.41,0.47,16.1,1.7,0,20.6,23.4,89,108,0
24.5,33.5,76,1.3,0.3,1.8,0.48,0.41,0.87,0.53,0.3,0.21,9,2.1,0.7,9.8,17.9,108,111,0
23.5,0.5,8.5,0.3,0.1,1,0.36,0.33,0.75,0.33,0.31,0.06,13.5,1.6,0.9,10.6,22.3,77,108,0
24,6.666666667,50.66666667,0.4,0.4,1.9,0.6,0.3,0.71,0.61,0.06,0.49,12.1,1.2,3,17.7,13.7,126,113,0
20.5,56,68,1.4,0.4,2.1,0.48,0.37,0.78,0.53,0.44,0.22,41.3,2.3,1,16.8,31.9,107,113,1
22.5,42,81,0.7,0.1,1.9,0.46,0.39,0.91,0.54,0.41,0.31,31.1,1.6,0.3,13.1,21.2,112,112,0
22,0,2,1,0,3.5,0.38,0.5,0,0.47,0.33,0.17,8.2,1.8,0,18.9,12.1,85,110,0
25.5,0,2,1,0,0,0.5,0.3,1,0.5,0,0.14,0,7.1,0,33.3,22.4,106,111,0
23.5,0,29.5,0.4,0.4,1.6,0.61,0.3,0.9,0.65,0.01,0.29,7.4,2.5,2.3,6.2,21.3,133,107,0
